codi municipi,descripcio municipi,codi ABS,descripcio ABS,codi RS,descripcio RS,codi SS,descripcio SS,codi localitat,descripcio localitat
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800100,ABRERA
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800101,ABRERA
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800102,CA N'AMAT
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800103,CAN MORAGUES
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800104,CAN SOCARRATS
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800105,CAN TORRES
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800106,CAN VILALBA
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800107,CARPES
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800108,COLÒNIA DEL RIU
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800109,MATES
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800110,POLÍGON BARCELONÈS
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800111,POLÍGON SEAT
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800112,REBATO
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800113,ROCA DE LA MONA
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800114,SANT ERMENGOL
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800115,SANT HILARI
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800116,SANT MIQUEL
8001,Abrera,370,Abrera,78,Barcelona,7831,Baix Llobregat Nord,800117,SANTA MARIA DE VILALBA
8002,Aguilar de Segarra,215,Sant Joan de Vilatorrada,67,Catalunya Central,6763,Solsonès-Bages-Berguedà,800200,AGUILAR DE SEGARRA
8002,Aguilar de Segarra,215,Sant Joan de Vilatorrada,67,Catalunya Central,6763,Solsonès-Bages-Berguedà,800201,CASTELLAR
8002,Aguilar de Segarra,215,Sant Joan de Vilatorrada,67,Catalunya Central,6763,Solsonès-Bages-Berguedà,800202,COROMINES
8002,Aguilar de Segarra,215,Sant Joan de Vilatorrada,67,Catalunya Central,6763,Solsonès-Bages-Berguedà,800203,ESTACIÓ
8002,Aguilar de Segarra,215,Sant Joan de Vilatorrada,67,Catalunya Central,6763,Solsonès-Bages-Berguedà,800204,RAVAL
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800300,ALELLA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800301,ALELLA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800302,ALELLA PARC
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800303,BARRI CANONGE
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800304,CAL VELL
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800305,CAN MAGAROLA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800306,CAN SORTS
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800307,CAN TEIXIDOR
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800308,COMAFOSCA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800309,CREU DE PEDRA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800310,GAGGIOLI
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800311,GAIETANA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800312,IVARS MEIÀ
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800313,MAR I MUNTANYA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800314,MAS COLL
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800315,NOVA ALELLA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800316,SEROTA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800317,SOLAIA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800318,SOLEIA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800319,SOLELL
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800320,VALLBONA
8003,Alella,361,El Masnou-Alella,78,Barcelona,7867,Barcelonès Nord i Maresme,800321,VERGE DE LA MERCÈ
8004,Alpens,217,Sant Quirze de Besora,67,Catalunya Central,6745,Osona,800400,ALPENS
8004,Alpens,217,Sant Quirze de Besora,67,Catalunya Central,6745,Osona,800401,ALPENS
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800500,AMETLLA DEL VALLÈS
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800501,AMETLLA DEL VALLÈS
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800502,CAN CAMP
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800503,CAN CARLONS
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800504,CAN REIXAC
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800505,FUSTERA
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800506,MAS DORCA
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800507,MAS FABRERA
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800508,MIRANDA
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800509,MONTGUIT
8005,L'Ametlla del Vallès,121,La Garriga,78,Barcelona,7842,Vallès Oriental,800510,PINAR DE ROSANES
