codi ABS,descripcio ABS,codi SS,descripcio SS,codi RS,descripcio RS,població oficial
1,Agramunt,6156,Lleida,61,Lleida,6486.0
2,Alcarràs,6156,Lleida,61,Lleida,14018.0
3,Alfarràs/ Almenar,6156,Lleida,61,Lleida,9715.0
4,Amposta,6360,Terres de l'Ebre,63,Terres de l'Ebre,27922.0
5,Anglès,6462,Girona Sud,64,Girona,12168.0
7,Aran,7107,Aran,71,Alt Pirineu i Aran,9504.0
8,Arbúcies/Sant Hilari,6462,Girona Sud,64,Girona,12426.0
9,Arenys de Mar,7867,Barcelonès Nord i Maresme,78,Barcelona,24639.0
10,Argentona,7867,Barcelonès Nord i Maresme,78,Barcelona,17883.0
11,Artés,6763,Solsonès-Bages-Berguedà,67,Catalunya Central,11276.0
12,Artesa de Segre,6156,Lleida,61,Lleida,4114.0
13,El Vendrell,6258,Tarragonès-Baix Penedès,62,Camp de Tarragona,47887.0
14,Balaguer,6156,Lleida,61,Lleida,28025.0
15,Banyoles,6462,Girona Sud,64,Girona,32648.0
16,Barcelona 1-A,7846,Barcelona Ciutat Vella,78,Barcelona,14560.0
17,Barcelona 1-B,7846,Barcelona Ciutat Vella,78,Barcelona,22145.0
18,Barcelona 1-C,7846,Barcelona Ciutat Vella,78,Barcelona,15088.0
19,Barcelona 1-D,7846,Barcelona Ciutat Vella,78,Barcelona,29780.0
20,Barcelona 1-E,7846,Barcelona Ciutat Vella,78,Barcelona,21566.0
21,Barcelona 2-A,7851,Barcelona Eixample,78,Barcelona,33972.0
22,Barcelona 2-B,7851,Barcelona Eixample,78,Barcelona,30011.0
23,Barcelona 2-C,7851,Barcelona Eixample,78,Barcelona,31223.0
24,Barcelona 2-D,7851,Barcelona Eixample,78,Barcelona,19270.0
25,Barcelona 2-E,7851,Barcelona Eixample,78,Barcelona,33352.0
27,Barcelona 2-G,7851,Barcelona Eixample,78,Barcelona,21680.0
28,Barcelona 2-H,7851,Barcelona Eixample,78,Barcelona,26253.0
29,Barcelona 2-I,7851,Barcelona Eixample,78,Barcelona,20708.0
30,Barcelona 2-J,7851,Barcelona Eixample,78,Barcelona,27677.0
31,Barcelona 2-K,7851,Barcelona Eixample,78,Barcelona,25801.0
32,Barcelona 3-A,7849,Barcelona Sants-Montjuïc,78,Barcelona,24673.0
33,Barcelona 3-B,7849,Barcelona Sants-Montjuïc,78,Barcelona,24692.0
34,Barcelona 3-C,7849,Barcelona Sants-Montjuïc,78,Barcelona,15387.0
35,Barcelona 3-D,7849,Barcelona Sants-Montjuïc,78,Barcelona,31632.0
36,Barcelona 3-E,7849,Barcelona Sants-Montjuïc,78,Barcelona,21626.0
38,Barcelona 3-G,7849,Barcelona Sants-Montjuïc,78,Barcelona,23323.0
39,Barcelona 4-A,7848,Barcelona Les Corts,78,Barcelona,28116.0
40,Barcelona 4-B,7848,Barcelona Les Corts,78,Barcelona,21777.0
41,Barcelona 4-C,7848,Barcelona Les Corts,78,Barcelona,30897.0
42,Barcelona 5-A,7850,Barcelona Sarrià-Sant Gervasi,78,Barcelona,28375.0
43,Barcelona 5-B,7850,Barcelona Sarrià-Sant Gervasi,78,Barcelona,35207.0
44,Barcelona 5-C,7850,Barcelona Sarrià-Sant Gervasi,78,Barcelona,27015.0
45,Barcelona 5-D,7850,Barcelona Sarrià-Sant Gervasi,78,Barcelona,19444.0
46,Barcelona 5-E,7850,Barcelona Sarrià-Sant Gervasi,78,Barcelona,34384.0
47,Barcelona 6-A,7852,Barcelona Gràcia,78,Barcelona,30495.0
48,Barcelona 6-B,7852,Barcelona Gràcia,78,Barcelona,26577.0
49,Barcelona 6-C,7852,Barcelona Gràcia,78,Barcelona,21344.0
50,Barcelona 6-D,7852,Barcelona Gràcia,78,Barcelona,21908.0
51,Barcelona 7-A,7853,Barcelona Horta-Guinardó,78,Barcelona,21709.0
52,Barcelona 7-B,7853,Barcelona Horta-Guinardó,78,Barcelona,19277.0
53,Barcelona 7-C,7853,Barcelona Horta-Guinardó,78,Barcelona,19779.0
54,Barcelona 7-D,7853,Barcelona Horta-Guinardó,78,Barcelona,27931.0
55,Barcelona 7-E,7853,Barcelona Horta-Guinardó,78,Barcelona,31061.0
56,Barcelona 7-F,7853,Barcelona Horta-Guinardó,78,Barcelona,20383.0
59,Barcelona Turó - Vilapicina 8C,7854,Barcelona Nou Barris,78,Barcelona,24483.0
60,Barcelona 8-D,7854,Barcelona Nou Barris,78,Barcelona,
62,Barcelona 8-F,7854,Barcelona Nou Barris,78,Barcelona,25293.0
63,Barcelona 8-G,7854,Barcelona Nou Barris,78,Barcelona,17286.0
64,Barcelona 8-H,7854,Barcelona Nou Barris,78,Barcelona,15884.0
65,Barcelona 9-A,7855,Barcelona Sant Andreu,78,Barcelona,34594.0
67,Barcelona 9-C,7855,Barcelona Sant Andreu,78,Barcelona,34671.0
69,Barcelona 9-E,7855,Barcelona Sant Andreu,78,Barcelona,15175.0
70,Barcelona 9-F,7855,Barcelona Sant Andreu,78,Barcelona,10763.0
71,Barcelona 10-A,7847,Barcelona Sant Martí,78,Barcelona,36346.0
72,Barcelona 10-B,7847,Barcelona Sant Martí,78,Barcelona,29016.0
73,Barcelona 10-C,7847,Barcelona Sant Martí,78,Barcelona,23693.0
74,Barcelona 10-D,7847,Barcelona Sant Martí,78,Barcelona,27854.0
75,Barcelona 10-E,7847,Barcelona Sant Martí,78,Barcelona,17211.0
76,Barcelona 10-F,7847,Barcelona Sant Martí,78,Barcelona,24249.0
77,Barcelona 10-G,7847,Barcelona Sant Martí,78,Barcelona,24242.0
78,Barcelona 10-H,7847,Barcelona Sant Martí,78,Barcelona,20034.0
79,Barcelona 10-I,7847,Barcelona Sant Martí,78,Barcelona,12689.0
80,Bàscara,6461,Girona Nord,64,Girona,4702.0
81,Bellpuig,6156,Lleida,61,Lleida,7195.0
82,Berga,6763,Solsonès-Bages-Berguedà,67,Catalunya Central,21662.0
83,Besalú,6461,Girona Nord,64,Girona,6270.0
84,La Bisbal d'Empordà,6461,Girona Nord,64,Girona,16905.0
85,Blanes,6462,Girona Sud,64,Girona,39662.0
86,Les Borges Blanques,6156,Lleida,61,Lleida,15890.0
87,Les Borges del Camp,6259,Baix Camp-Priorat,62,Camp de Tarragona,6832.0
88,Calaf,6735,Anoia,67,Catalunya Central,6764.0
89,Caldes de Montbui,7842,Vallès Oriental,78,Barcelona,23924.0
90,Calella,6462,Girona Sud,64,Girona,19223.0
91,Cambrils,6259,Baix Camp-Priorat,62,Camp de Tarragona,34621.0
92,Camprodon,6461,Girona Nord,64,Girona,4139.0
93,Canet de Mar,6462,Girona Sud,64,Girona,23668.0
95,Cardedeu,7842,Vallès Oriental,78,Barcelona,21869.0
96,Cardona,6763,Solsonès-Bages-Berguedà,67,Catalunya Central,5037.0
97,Castellar del Vallès,7844,Vallès Occidental Est,78,Barcelona,26558.0
98,Montserrat,6763,Solsonès-Bages-Berguedà,67,Catalunya Central,13768.0
100,Cassà de la Selva,6462,Girona Sud,64,Girona,33358.0
101,Celrà,6462,Girona Sud,64,Girona,10209.0
102,Centelles,6745,Osona,67,Catalunya Central,12547.0
103,La Cerdanya,7164,Alt Pirineu,71,Alt Pirineu i Aran,16863.0
104,Cerdanyola del Vallès 1,7844,Vallès Occidental Est,78,Barcelona,23989.0
105,Cerdanyola del Vallès 2,7844,Vallès Occidental Est,78,Barcelona,24115.0
106,Cervera,6156,Lleida,61,Lleida,20951.0
107,Constantí,6258,Tarragonès-Baix Penedès,62,Camp de Tarragona,6882.0
108,Cornellà de Llobregat 1,7866,Baix Llobregat Centre-Litoral i l'Hospitalet de Llobregat,78,Barcelona,33053.0
109,Cornellà de Llobregat 2,7866,Baix Llobregat Centre-Litoral i l'Hospitalet de Llobregat,78,Barcelona,26300.0
110,Cornellà de Llobregat 3,7866,Baix Llobregat Centre-Litoral i l'Hospitalet de Llobregat,78,Barcelona,13283.0
111,Cornellà de Llobregat 4,7866,Baix Llobregat Centre-Litoral i l'Hospitalet de Llobregat,78,Barcelona,17095.0
112,Cornudella de Montsant,6259,Baix Camp-Priorat,62,Camp de Tarragona,2198.0
113,Deltebre,6360,Terres de l'Ebre,63,Terres de l'Ebre,15073.0
114,L'Escala,6461,Girona Nord,64,Girona,15873.0
115,Esparraguera,7831,Baix Llobregat Nord,78,Barcelona,27802.0
116,Esplugues de Llobregat 1,7866,Baix Llobregat Centre-Litoral i l'Hospitalet de Llobregat,78,Barcelona,18489.0
117,Esplugues de Llobregat 2,7866,Baix Llobregat Centre-Litoral i l'Hospitalet de Llobregat,78,Barcelona,28795.0
118,Falset,6259,Baix Camp-Priorat,62,Camp de Tarragona,6600.0
119,Figueres,6461,Girona Nord,64,Girona,49656.0
120,Flix,6360,Terres de l'Ebre,63,Terres de l'Ebre,7381.0
121,La Garriga,7842,Vallès Oriental,78,Barcelona,29407.0
122,Gavà 1,7866,Baix Llobregat Centre-Litoral i l'Hospitalet de Llobregat,78,Barcelona,19383.0
