input,name,formatted_address,lat,lng,place_id,google_maps_url
"Hospital de Ferrol, A Coruña",Hospital Arquitecto Marcide,"Av. da Residencia, S/N, 15405 Ferrol, A Coruña",43.5105963,-8.2160997,ChIJSU7N-kvfLQ0RfORrkJlU9G8,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJSU7N-kvfLQ0RfORrkJlU9G8
"Hospital Clínico Universitario de Santiago de Compostela, A Coruña",Hospital Clínico Universitario de Santiago CHUS,"Rúa da Choupana, s/n, 15706 Santiago de Compostela, A Coruña",42.8693812,-8.5657444,ChIJw2ehEQz-Lg0Rjahaq8tfKKk,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJw2ehEQz-Lg0Rjahaq8tfKKk
"Complexo Hospitalario Universitario de Pontevedra, Pontevedra",Hospital Provincial de Pontevedra,"Loureiro Crespo, 2, 36002 Pontevedra",42.4287626,-8.637683899999999,ChIJuz9507dxLw0Rse_uyY1i8cU,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJuz9507dxLw0Rse_uyY1i8cU
"Hospital Álvaro Cunqueiro, Pontevedra",Hospital Álvaro Cunqueiro,"Estrada de Clara Campoamor, 341, 36213 Vigo, Pontevedra",42.1887353,-8.7148556,ChIJ9SR13m9iLw0R-3yezgu1Y3Y,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJ9SR13m9iLw0R-3yezgu1Y3Y
"Complexo Hospitalario Universidad de Ourense, Ourense",Complejo Hospitalario Universitario de Ourense - CHUO,"Calle Ramon Puga Noguerol, 54, 32005 Ourense, Province of Ourense",42.3266285,-7.860519,ChIJDcRHENr-Lw0RvDk03MFUjuI,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJDcRHENr-Lw0RvDk03MFUjuI
"Hospital Central de Asturias, Asturias",Hospital Universitario Central de Asturias,"Av. Roma, s/n, 33011 Oviedo, Asturias",43.3753533,-5.827230399999999,ChIJLUP-6OSMNg0RPOCw2pHK520,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJLUP-6OSMNg0RPOCw2pHK520
"Hospital de Cabueñes, Asturias",Hospital Universitario de Cabueñes,"Los Prados, 395, 33394 Gijón, Asturias",43.5251469,-5.6070825,ChIJI8aYMhx7Ng0RavXPk_Aqzaw,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJI8aYMhx7Ng0RavXPk_Aqzaw
"Hospital San Agustín, Asturias",Hospital Universitario San Agustín,"Cam. de Heros, 6, 33401 Avilés, Asturias",43.5518906,-5.936107700000001,ChIJp0qnHnqbNg0RrpPRizuJHQ8,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJp0qnHnqbNg0RrpPRizuJHQ8
"Hospital Universitario Marqués de Valdecilla, Cantabria",Hospital Universitario Marqués de Valdecilla,"Av. de Valdecilla, 25, 39008 Santander, Cantabria",43.4560767,-3.8292097,ChIJsaW6HoJJSQ0RV8PttOL6CQg,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJsaW6HoJJSQ0RV8PttOL6CQg
"Hospital de Basurto, Vizcaya",Hospital Universitario Basurto,"Montevideo Etorb., 18, 48013 Bilbo, Bizkaia",43.2615549,-2.9530459,ChIJq0UhNjdQTg0RjLKVq9sOFfM,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJq0UhNjdQTg0RjLKVq9sOFfM
"Hospital Universitario de Cruces (adultos), Vizcaya",Gurutzetako Unibertsitate Ospitalea Hospital Universitario Cruces,"48903 Baracaldo, Vizcaya",43.2833044,-2.9857004,ChIJCR1KHYVQTg0Rr5YApdiWic0,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJCR1KHYVQTg0Rr5YApdiWic0
"Hospital Universitario de Cruces (pediatría), Vizcaya",Hospital Universitario de Cruces Urgencias de Pediatría,"Hospital De Cruces, Cruces Plaza, s/n, 48903 Barakaldo, Biscay",43.2821116,-2.9841373,ChIJsXsVloVQTg0Rg89ip_S-6ps,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJsXsVloVQTg0Rg89ip_S-6ps
"Hospital de Galdakao, Vizcaya",Hospital Universitario de Galdakao,"Labeaga Auzoa, 48960 Galdakao, Bizkaia",43.2234469,-2.8179267,ChIJp5PIv4JJTg0RBDRFZKsHbIU,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJp5PIv4JJTg0RBDRFZKsHbIU
"Hospital de Donostia, Guipúzcoa",Hospital Universitario Donostia,"Begiristain Doktorea Pasealekua, s/n, 20014 Donostia, Gipuzkoa",43.2921409,-1.9705101,ChIJmVAPe-mvUQ0RWEqky9JmfYY,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJmVAPe-mvUQ0RWEqky9JmfYY
"Hospital Universitario de Araba, Álava",Hospital Txagorritxu HUA,"Jose Atxotegi Kalea, s/n, 01009 Gasteiz, Araba",42.8548459,-2.6902258,ChIJP6LiSiPCTw0R5H452Ok6euU,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJP6LiSiPCTw0R5H452Ok6euU
"Complejo Hospitalario de León, León",Hospital Universitario de León,"C/ ALTOS DE NAVA, S/N, 24071 León",42.6188257,-5.5724149,ChIJV7kh4o6aNw0RypafH46O36Q,https://www.google.com/maps/search/?api=1&query=Google&query_place_id=ChIJV7kh4o6aNw0RypafH46O36Q
